index,성분명,임부금기(등급),비고,허가사항,,,,,,,,,,,,,,,
163,Degarelix,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
164,Delapril,2등급,,"임신 2기 및 3기에 ACE 저해제 복용시 태아 및 신생아에 저혈압, 신생아 두개형성부전, 무뇨, 고칼륨혈증, 신부전 및 사망 가능성.
태아의 신기능감소에 의한 양수과소증으로 태아사지경축, 두개안면변형 및 폐발육형성부전 가능성.",,,,,,,,,,,,,,,
165,Denopamine,2등급,,"동물실험에서 심실중격결손, 손.발가락 발육부전의 기형발생 및 태자치사작용 보고.",,,,,,,,,,,,,,,
166,Dexamethasone,2등급,점비제 포함,"(전신제제) 
동물실험에서 기형발생 작용 보고.
태아의 성장지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에 영향 가능성. 신생아에 부신부전증 유발 가능성.
(점비제)
임부에 대한 안전성 미확립
동물실험(토끼)에서 배, 태자 사망률 증가, 생존태아 수 감소, 생존 태아 체중의 저하, 골화 진행도에의 영향 보고",,,,,,,,,,,,,,,
167,Dexbrompheniramine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
168,Dexibuprofen ,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 대사독성, 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
169,Dexketoprofen,2등급,,"(경구)
양수과소증을 수반하는 신부전, 항응고효과로 인한 출혈시간지연, 자궁수축억제로 인한 출산지연 가능성.
(주사)
임부에 대한 안전성 미확립. 
자궁 수축 저해로 인한 출산지연. 자궁내 수축 또는 동맥관폐쇄유도로 인한 신생아 폐성 고혈압 및 호흡 불충분. 태아 혈소판과 신장기능 억제로 인한 양수과소증 및 신생아 무뇨증 가능성.",,,,,,,,,,,,,,,
170,Dexmedetomidine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 피하투여시 착상 후 손실 증가, 생존태아 감소, 태자 체중감소 및 성장발달지연 보고. ",,,,,,,,,,,,,,,
171,Diazepam,2등급,,"최기형성 사례(대조군에 비해 높음) 및 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 보고.
분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.
분만 중 정맥 주입시 sleeping baby 보고.
임신중 지속적 복용시 신생아 저혈압, 호흡기능저하, 체온저하 가능성.",,,,,,,,,,,,,,,
172,Diclofenac,2등급,,"(경구, 주사)
임부에 대한 안전성 미확립.
임신말기에 투여시 태아의 동맥관조기폐쇄, 태아 순환지속증 가능성. 
동물실험에서 난산발생 증가, 분만지연, 태자 생존율 감소 보고.
(점안)
임신 3기에 투여시 태아에서 심폐독성(동맥관의 조기봉합 및 폐동맥 고혈압), 양수부족증, 및 신부전에 이를 수 있는 신기능 장애 유발.
임신 말기에 투여시 산모와 태아의 출혈시간 연장.
동물실험에서 난산, 지연임신, 태아 생존의 감소 및 자궁내 성장지연 나타냄.",,,,,,,,,,,,,,,
173,Dienoestrol = Dienestrol,1등급,질크림제 포함,-,,,,,,,,,,,,,,,
174,Dienogest,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
175,Diflunisal,2등급,,"임부에 대한 안전성 미확립. 
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
176,Dihydroergotamine,1등급,,"(경구) 
임부에 대한 안전성 미확립.
(주사)
동물실험에서 고용량 투여시 자궁평활근 및 태반의 혈류량을 감소시켜 태자의 성장장애 가능성 보고.",,,,,,,,,,,,,,,
177,Diltiazem,2등급,,"(경구) 
동물실험에서 골격, 심장, 망막 및 혀에 기형 보고.
출생자의 체중감소 및 생존수 감소, 분만지연, 사산수 증가 보고.
(주사)
동물 실험에서 최기형성 및 태자치사 작용 보고.",,,,,,,,,,,,,,,
178,Diphenylpyraline,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 기형발생 보고.",,,,,,,,,,,,,,,
179,Etidronate,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 과량투여시 태자에 골격이상 발생 및 생존율 감소 보고.",,,,,,,,,,,,,,,
180,Docetaxel,2등급,,"동물실험에서 배태자 독성(배· 태아 치사 작용, 태아 및 출생아의 발육·발달지연, 최기형성 소견) 및 수태력 감소 보고.",,,,,,,,,,,,,,,
181,Domperidone,1등급,,동물실험에서 모체독성을 유발하는 농도에서 생식독성 보고.,,,,,,,,,,,,,,,
182,Doripenem,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
183,Dothiepin,2등급,,"임신중 세로토닌 재흡수 억제제에 노출된 신생아의 위험(호흡곤란, 청색증, 무호흡증, 발작 등) 보고.",,,,,,,,,,,,,,,
184,Doxazosin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
185,Doxifluridine,2등급,,동물실험에서 기형유발 보고.,,,,,,,,,,,,,,,
186,Doxorubicin,2등급,,동물실험에서 기형발생 보고.,,,,,,,,,,,,,,,
187,Doxycycline,2등급,,"태자에 일과성 골발육부전, 영구적 치아착색, 법랑질형성부전 보고.
동물실험에서 태자독성(주로 골격발달지연과 관련) 및 배자독성 보고.",,,,,,,,,,,,,,,
188,D-Penicillamine,"2등급
(윌슨병, 납·수은중독, 특정 시스틴뇨증시)",,기형 유발로 의심되는 증례 보고.,,,,,,,,,,,,,,,
189,Dronedarone,2등급,,동물실험에서 기형 유발.,,,,,,,,,,,,,,,
190,Dutasteride,1등급,,전임상시험에서 남성 태아의 외부 생식기 발달 저해 가능성.,,,,,,,,,,,,,,,
191,Dydrogesterone,"1등급
( 황체기능부전에 의한 불임치료, 황체호르몬 부족으로 인한 유·조산 치료시 제외)",,여성 태아의 외부생식기 남성화 및 남성 태아의 요도하열과의 관련성 보고.,,,,,,,,,,,,,,,
192,Ebastine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
193,Efavirenz,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 기형(무뇌증 및 단안 무안구증, 소안구증, 구개열) 및 태자 재흡수 증가 보고.",,,,,,,,,,,,,,,
194,Efonidipine,2등급,,"실험동물에서 모체동물, 출생자에 체중증가 억제 보고.",,,,,,,,,,,,,,,
195,Emorfazone,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
196,Empagliflozin,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 출생 후 발달에 유해한 영향 보고.",,,,,,,,,,,,,,,
197,Enalapril,2등급,,"임신 제2 및 3기에 ACE 저해제 투여시 양수과소증, 태아 및 신생아의 사망, 신생아 저혈압, 신부전, 고칼륨혈증, 두개형성부전, 양수과소증에 의한 것으로 추정되는 사지의 경축, 두개단면의 변형 보고.",,,,,,,,,,,,,,,
198,Enocitabine,2등급,,동물실험에서 기형발생 작용 보고.,,,,,,,,,,,,,,,
199,Enoxacin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
200,Entacapone,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 과용량 투여시 두정골, 측두골, 전두골의 골화지연 관찰, 확장된 전두비골 봉합 증가.
유전독성시험에서 염색체 이상 및 유전변이시험에서 유전자 돌연변이 관찰됨.",,,,,,,,,,,,,,,
201,Epinastine,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
202,Epinephrine,2등급,,태아의 산소결핍 초래 가능성.,,,,,,,,,,,,,,,
203,Epirubicin,2등급,,"동물실험에서 태자독성 보고
기형발생 보고(안트라사이클린계의 다른 항악성종양제).",,,,,,,,,,,,,,,
204,Eprosartan,2등급,,"임신 제 2~3기 투여시 태아와 신생아의 저혈압, 신생아 두개골형성부전, 무뇨, 신부전, 양수과소증(사지골절, 두개안면변형, 폐발육부전과 관련) 및 사망 보고.",,,,,,,,,,,,,,,
205,"Ergotamine
+anhydrous caffeine",1등급,,주석산에르고타민의 자궁수축 및 혈관수축 작용.,,,,,,,,,,,,,,,
206,Eribulin,2등급,,"임부에 대한 안전성 미확립
동물실험에서 배태자독성 및 최기형성 보고.",,,,,,,,,,,,,,,
207,Erlotinib,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생존태자수 감소 및 과량 투여시 모체독성(유산 및 배/태자 사망 등) 보고.",,,,,,,,,,,,,,,
208,Esmolol,2등급,,"임부에 대한 안전성 미확립.
임신후기 및 분만시 태아의 서맥 유발 가능성.",,,,,,,,,,,,,,,
209,Estradiol,1등급,"겔제, 패취제, 질정제 포함","임부에 대한 안전성 미확립.
에스트로겐 대체 요법에 의해 남녀 태아의 생식기관 유전적 결함을 증가, 훗날 여성의 경우 질선증, 자궁경부 편평세포 형성장애, 자궁암의 위험 증가. 임신 중 에스트로겐 대체 요법이 필요한 적응증은 없음.",,,,,,,,,,,,,,,
210,Estramustine,1등급,,-,,,,,,,,,,,,,,,
211,Estriol,2등급,"크림제, 질좌제 포함","(경구) 
임부에 대한 안전성 미확립.
동물실험에서 난포호르몬제 투여시 태자의 성장 후 질상피 및 자궁내막의 암성변성 보고.
(질좌제)
동물실험에서 태자의 성장후 질상피 및 자궁내막의 악성변성을 시사하는 결과 보고.",,,,,,,,,,,,,,,
212,Estropipate,1등급,크림제 포함,"임부에 대한 안전성 미확립.
에스트로겐대체요법에 의해 태아에서 생식기관결함, 선천적 심장결함, 수족감소결함, 사지감소장애 등 가능성.
훗날 여성에서 질선증, 질 및 자궁경부 편평세포형성장애, 자궁암의 위험 증가.",,,,,,,,,,,,,,,
213,Ethinyl estradiol,1등급,,태아의 손상 가능성.,,,,,,,,,,,,,,,
214,Ethosuximide,2등급,,동물실험에서 기형발생 보고.,,,,,,,,,,,,,,,
215,Ethyl Loflazepate,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
216,Etizolam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
217,Etodolac,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
218,Etofibrate,2등급,,임신중(특히 3개월 이후) 투여시 태아에 축적되어 태아독성 유발 가능성.,,,,,,,,,,,,,,,
219,Etoposide,2등급,,"동물실험에서 기형유발, 태자독성 보고.",,,,,,,,,,,,,,,
220,Everolimus,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배태자독성(사망률, 태자 체중감소) 및 골격근 변화와 기형(흉골열 등) 발생률 증가.",,,,,,,,,,,,,,,
221,Exemestane,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식 및 발생독성 보고.",,,,,,,,,,,,,,,
222,Exenatide,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성 보고.",,,,,,,,,,,,,,,
223,Ezetimibe,2등급,,"동물실험에서 고용량 투여시 태자 골격이상(늑골추가형성, 경추중심부골화부전, 늑골축소) 발현 증가 관찰.",,,,,,,,,,,,,,,
224,Febuxostat,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
225,Felodipine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 태자손상, 분만지연, 태자 및 신생자의 사망률 증가 보고.",,,,,,,,,,,,,,,
226,Fenofibrate,2등급,,임신 3개월 이후 투여시 태아에 축적되어 태아독성 유발 가능성.,,,,,,,,,,,,,,,
227,Fenoprofen,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
228,Fentanyl,2등급,"패취제, 구강정제, 설하정제, 점비제 포함","임부에 대한 안전성 미확립.
동물실험에서 살배자 작용 보고.
출산/분만 중 투여시 신생아 호흡억제 유발 가능성.",,,,,,,,,,,,,,,
229,Fesoterodine,2등급,,"임부에 대한 안전성 미확립.
동물실험에서 배자독성 보고.",,,,,,,,,,,,,,,
230,Fexofenadine,2등급,,동물실험에서 고용량 투여시 용량 의존적으로 태자의 체중감소와 생존률 감소 보고.,,,,,,,,,,,,,,,
231,Fimasartan,2등급,,"임신 2~3기에 투여시 태아 및 신생아 저혈압, 신생아 두개골형성저하증, 무뇨증, 신부전, 양수과소증(사지연축, 두개안면기형, 폐형성저하증과 관련), 및 사망 보고.",,,,,,,,,,,,,,,
232,Finasteride,1등급,외용 모발용제 포함,"약의 부서진 조각을 만지는 경우, 피부를 통해 흡수되어 남성 태아 외부생식기의 비정상 초래 가능성.",,,,,,,,,,,,,,,
233,Fingolimod,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 생식독성(태아소실, 장기결손, 동맥간존속, 심실중격결손) 보고.",,,,,,,,,,,,,,,
234,Flecainide,2등급,,동물실험에서 기형발생이 인정됨.,,,,,,,,,,,,,,,
235,Fleroxacin,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
236,Fluconazole,"2등급
",,"임신 첫 3개월 안에 150mg을 단회 또는 반복 투여한 임부에서 자연유산 및 영아의 선천성이상 보고.
임신 첫 3개월의 모든 또는 대부분의 기간동안 고용량(1일 400-800mg) 투여 시 영아에서 출생기형(납작머리증, 비정상적 얼굴, 비정상정 머리덮개뼈 발달, 구개열, 대퇴부 휨, 얇은 갈비뼈, 긴뼈, 관절굽음증, 선천적 심장질환)이 나타남.
콕시디오이데스진균증에 대해 3개월 이상 고용량(1일 400-800mg) 투여 시 영아에서 다발성 선천성 기형 보고.
동물실험에서 고용량 투여 시 태자의 해부학적인 변형(과잉늑골, 신우확장) 증가 및 골화 지연, 배자치사 증가, 태아 기형(파형늑골, 구개열, 비정상적인 두개안면부 골화) 확인.",,,,,,,,,,,,,,,
237,Fludarabine,2등급,,"동물실험에서 배자독성 및 기형발생 가능성 보고.
신생아에서 골격과 심장기형 및 조산 보고.",,,,,,,,,,,,,,,
238,Fludrocortisone,2등급,,"동물실험에서 기형발생 작용 보고.
태아의 성장지체, 언청이의 위험 등의 증가, 뇌성장 및 발달에 영향 가능성. 신생아에 부신부전증 유발 가능성.",,,,,,,,,,,,,,,
239,Flufenamic acid ,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
240,Flunarizine,2등급,,동물시험에서 기형발생(골격이상) 보고.,,,,,,,,,,,,,,,
241,Flunitrazepam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
242,Fluoropropyl-CIT,2등급,,임부에 대한 안전성 미확립.,,,,,,,,,,,,,,,
243,Fluorouracil,1등급,크림제 포함,"동물실험에서 다지증, 구개열 등 기형유발 작용 보고.",,,,,,,,,,,,,,,
244,Fluoxymesterone,1등급,,-,,,,,,,,,,,,,,,
245,Flurazepam,2등급,,"벤조디아제핀계 약물의 최기형성 사례(대조군에 비해 높음), 신생아 포유곤란, 근긴장저하, 졸음, 황달 증가 및 분만전 연용시 신생아 금단증상(신경과민, 진전, 과다긴장 등) 보고.",,,,,,,,,,,,,,,
246,Flurbiprofen,2등급,,"임부에 대한 안전성 미확립.
임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.
동물실험에서 동맥관수축, 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.",,,,,,,,,,,,,,,
247,Flutamide,1등급,,-,,,,,,,,,,,,,,,
248,Fluticasone,2등급,점비제 포함,"임부에 대한 안전성 미확립. 
동물실험에서 코르티코스테로이드는 상대적으로 낮은 농도로 전신 투여시 기형을 유발하는 것으로 관찰됨. ",,,,,,,,,,,,,,,
249,Fluvastatin,1등급,,"임부에 대한 안전성 미확립.
동물실험에서 과량투여시 골격발달지연, 모체독성, 부정렬 흉추, 태자 및 신생아 사망 보고.",,,,,,,,,,,,,,,
250,"Follicle-stimulating hormone (follitropin, follitropin alfa, follitropin beta, corifollitropin alfa, urofollitropin)",1등급,,-,,,,,,,,,,,,,,,
251,Fosinopril,2등급,,"임신 2기 및 3기에 ACE 저해제 복용시 태아 및 신생아에 저혈압, 신생아 두개형성부전, 무뇨, 고칼륨혈증, 신부전 및 사망 가능성.
태아의 신기능감소에 의한 양수과소증으로 태아사지경축, 두개안면변형 및 폐발육형성부전 가능성.",,,,,,,,,,,,,,,
252,Fosphenytoin,2등급,,"발작빈도 증가, 대기형(구안지구열, 심기형), 소기형(두개안면이상, 손톱 및 손가락, 발가락형성부전), 성장이상(소두증), 정신적 결함 빈도 증가 및 악성종양(신경아세포종 등) 보고.",,,,,,,,,,,,,,,
