Drug Name,Category,Classification Level 1,Classification Level 2,Classification Level 3,,,,,,,,,,,,,,
pralatrexate,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
pramipexole,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
prasugrel,B1,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
pravastatin,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
praziquantel,B1,Antimicrobials,Anthelmintics,,,,,,,,,,,,,,,
prazosin,B2,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
prednisolone,A,Endocrine System,Corticosteroids,Systemic,,,,,,,,,,,,,,
prednisone,A,Endocrine System,Corticosteroids,Systemic,,,,,,,,,,,,,,
pregabalin,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
prilocaine (with or without felypressin),A,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
primaquine phosphate,D,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
primidone,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
probenecid,B2,Musculoskeletal System,Agents used in gout and hyperuricaemia,,,,,,,,,,,,,,,
probucol,B1,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
procainamide,B2,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
procaine benzylpenicillin,A,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
procaine hydrochloride,B2,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
procaine penicillin (procaine benzylpenicillin),A,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
procarbazine,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
prochlorperazine,C,Central Nervous System,"Antiemetics, antinauseants",Phenothiazines,,,,,,,,,,,,,,
procyclidine,A,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
progesterone,A,Endocrine System,Progestogens (see also oral contraceptives),,,,,,,,,,,,,,,
progestogen only contraceptives,B3,Contraceptive Agents,Oral contraceptives,,,,,,,,,,,,,,,
proguanil,B2,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
promazine,C,Central Nervous System,Antipsychotic drugs,Phenothiazines,,,,,,,,,,,,,,
promethazine,C,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
promethazine,C,Central Nervous System,"Antiemetics, antinauseants",Phenothiazines,,,,,,,,,,,,,,
propantheline,B2,Alimentary System,Antispasmodics,,,,,,,,,,,,,,,
propantheline,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
propofol,C,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
propranolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
propylthiouracil,C,Endocrine System,Antithyroid agents,,,,,,,,,,,,,,,
protamine,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
protein c (human),B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
protriptyline,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
proxymetacaine,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
prucalopride,B1,Alimentary System,Laxatives,,,,,,,,,,,,,,,
pseudoephedrine,B2,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
pseudoephedrine,B2,Respiratory System,Decongestants,,,,,,,,,,,,,,,
pyrantel embonate,B2,Antimicrobials,Anthelmintics,,,,,,,,,,,,,,,
pyrazinamide,B2,Antimicrobials,Antituberculotics and antileprotics,,,,,,,,,,,,,,,
pyrethrins,B2,Drugs used in Dermatology,Topical antiparasitics,,,,,,,,,,,,,,,
pyridostigmine,C,Drugs Used in Myasthenia Gravis,,,,,,,,,,,,,,,,
pyrimethamine,B3,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
Q fever vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
quetiapine,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
quinagolide,B3,Endocrine System,Pituitary inhibitors,,,,,,,,,,,,,,,
quinapril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
quinethazone,C,Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics",,,,,,,,,,,,,,
quinidine,C,Cardiovascular System,Antiarrhythmics,,,,,,,,,,,,,,,
quinine,D,Musculoskeletal System,Muscle relaxants,,,,,,,,,,,,,,,
quinine (treatment),D,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
rabeprazole,B1,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
rabies vaccine,B2,Vaccines,Killed vaccines,,,,,,,,,,,,,,,
radium (223Ra) dichloride,X,Antineoplastic Agents,,,,,,,,,,,,,,,,
raloxifene,X,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
raltegravir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
raltitrexed,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
ramipril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
ramucirumab (rmc),D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
ranibizumab,D,Ophthalmic Drugs,,,,,,,,,,,,,,,,
ranitidine,B1,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
rasagiline,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
rasburicase,B2,Musculoskeletal System,Agents used in gout and hyperuricaemia,,,,,,,,,,,,,,,
ravulizumab,B2,Blood and Haemopoietic System,,,,,,,,,,,,,,,,
reboxetine,B1,Central Nervous System,Antidepressants,,,,,,,,,,,,,,,
regorafenib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
remdesivir,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
remifentanil,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
repaglinide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
reteplase,C,Cardiovascular System,Fibrinolytic agents,,,,,,,,,,,,,,,
retigabine,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
ribavirin,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
ribociclib,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
rifabutin,C,Antimicrobials,Antituberculotics and antileprotics,,,,,,,,,,,,,,,
rifampicin,C,Antimicrobials,Antituberculotics and antileprotics,,,,,,,,,,,,,,,
rifaximin,B1,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
rilpivirine,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
riluzole,B3,Central Nervous System,,,,,,,,,,,,,,,,
rimiterol,A,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
rimiterol,A,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
riociguat,X,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
ripretinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
risankizumab,B1,Allergy and Immune System,,,,,,,,,,,,,,,,
risedronate,B3,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates,,,,,,,,,,,,,,
risperidone,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
ritonavir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
rituximab,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
rivaroxaban,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
rivastigmine,B2,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
rizatriptan,B1,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
rocuronium,B2,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
rofecoxib,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
romidepsin,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
romiplostim,B3,Blood and Haemopoietic System,Haemopoietic agents,,,,,,,,,,,,,,,
romosozumab,B3,Musculoskeletal System,Osteogenic agents,,,,,,,,,,,,,,,
ropinirole,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
ropivacaine,B1,Drugs Used in Anaesthesia,Local anaesthetics,,,,,,,,,,,,,,,
rosiglitazone,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
rosiglitazone / metformin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
rosuvastatin,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
rosuvastatin / ezetimibe,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
rotavirus vaccine,B2,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
rotigotine,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
roxithromycin,B1,Antimicrobials,Antibiotics,Macrolide antibiotics,,,,,,,,,,,,,,
rufinamide,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
rurioctocog alfa pegol,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
ruxolitinib phosphate,C,Antineoplastic Agents,,,,,,,,,,,,,,,,
safinamide (as mesilate),B3,,,,,,,,,,,,,,,,,
salbutamol,A,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
salbutamol,A,Genitourinary System,Agents acting on the uterus,,,,,,,,,,,,,,,
salbutamol,A,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
salcatonin (calcitonin salmon),B2,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
salmeterol,B3,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
salmeterol,B3,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
samarium [153Sm],D,Antineoplastic Agents,,,,,,,,,,,,,,,,
saponins,A,Respiratory System,Expectorants and mucolytics,,,,,,,,,,,,,,,
sapropterin,B1,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
saquinavir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
satralizumab,C,Central Nervous System,,,,,,,,,,,,,,,,
saxagliptin,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
saxagliptin / metformin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
sebelipase alfa,B1,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
secukinumab (rch),C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
selegiline,B2,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
selexipag,B1,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
semaglutide,D,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
senna,A,Alimentary System,Laxatives,,,,,,,,,,,,,,,
sertindole,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
sertraline,C,Central Nervous System,Antidepressants,Selective serotonin reuptake inhibitors (SSRIs),,,,,,,,,,,,,,
sevelamer,B3,"Detoxifying Agents, Antidotes",,,,,,,,,,,,,,,,
sevoflurane,B2,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
sibutramine,C,Metabolism,Anorectic and weight reducing agents,,,,,,,,,,,,,,,
sildenafil citrate,B1,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
silodosin,B3,Genitourinary System,Prostate hyperplasia,,,,,,,,,,,,,,,
siltuximab,C,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
simeprevir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
simeprevir with ribavirin and peginterferon alfa,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
simvastatin,D,Cardiovascular System,Hypolipidaemic agents,,,,,,,,,,,,,,,
siponimod,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
sirolimus,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
sitagliptin,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
sitagliptin / metformin,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
sitaxentan,X,Cardiovascular System,Endothelin receptor antagonist,,,,,,,,,,,,,,,
smallpox (Vaccinia) vaccine,D,Vaccines,Live attenuated virus vaccines,,,,,,,,,,,,,,,
sodium aurothiomalate,B2,Musculoskeletal System,Antirheumatoid agents,,,,,,,,,,,,,,,
sodium cromoglycate,A,Respiratory System,Inhalational agents,Preventative aerosols and inhalations,,,,,,,,,,,,,,
sodium fusidate (fusidic acid),C,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
sodium nitroprusside,C,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
sodium phenylbutyrate,B3,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
sodium phosphate [32P],X,Diagnostic Agents,,,,,,,,,,,,,,,,
sodium salicylate,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
sodium valproate (valproic acid),D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
sofosbuvir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
sofosbuvir / velpatasvir / voxilaprevir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
sofosbuvir / velpatasvir,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
sofosbuvir / velpatasvir with ribavirin,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
sofosbuvir with peginterferon alfa and ribavirin,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
sofosbuvir with ribavirin,X,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
solifenacin,B3,Genitourinary System,Prostate hyperplasia,,,,,,,,,,,,,,,
somatropin,B2,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
sorafenib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
sotalol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
spectinomycin,B1,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
spironolactone,B3,Cardiovascular System,Diuretics,Potassium sparing diuretics,,,,,,,,,,,,,,
spironolactone,B3,Endocrine System,Antiandrogens,,,,,,,,,,,,,,,
stavudine,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
stiripentol,B3,Central Nervous System,,,,,,,,,,,,,,,,
streptokinase,C,Cardiovascular System,Fibrinolytic agents,,,,,,,,,,,,,,,
strontium ranelate,B3,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
sucralfate,B1,Alimentary System,"Hyperacidity, reflux, ulcers",,,,,,,,,,,,,,,
sucroferric oxyhydroxide,B3,Blood and Haemopoietic System,Haemopoietic system,,,,,,,,,,,,,,,
sugammadex,B2,Drugs Used in Anaesthesia,Antagonists of neuromuscular blocking agents,,,,,,,,,,,,,,,
sulesomab,B2,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
sulfacetamide,C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
sulfadiazine,C,Antimicrobials,Antibiotics,Sulfonamides,,,,,,,,,,,,,,
sulfadoxine,C,Antimicrobials,Antibiotics,Sulfonamides,,,,,,,,,,,,,,
sulfamethizole,C,Antimicrobials,Antibiotics,Sulfonamides,,,,,,,,,,,,,,
sulfamethoxazole,C,Antimicrobials,Antibiotics,Sulfonamides,,,,,,,,,,,,,,
sulfasalazine,A,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
sulfinpyrazone,B2,Musculoskeletal System,Agents used in gout and hyperuricaemia,,,,,,,,,,,,,,,
sulindac,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
sulthiame,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
sumatriptan,B3,Cardiovascular System,Antimigraine preparations,,,,,,,,,,,,,,,
sunitinib,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
susoctocog alfa,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
suxamethonium,A,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
tacrine,C,Cholinergic and Anticholinergic Agents,,,,,,,,,,,,,,,,
tacrolimus,C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
tadalafil,B1,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
tafamidis,D,Cardiovascular System,,,,,,,,,,,,,,,,
tafenoquine,C,Antimicrobials,Antimalarials,,,,,,,,,,,,,,,
tafluprost,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
talimogene laherparepvec (rmv),C,Antineoplastic Agents,,,,,,,,,,,,,,,,
tamoxifen,B3,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
tamsulosin,B2,Genitourinary System,Prostate hyperplasia,,,,,,,,,,,,,,,
tapentadol,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
tasonermin,D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
tazarotene,D,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
technetium [99mTc],C,Diagnostic Agents,,,,,,,,,,,,,,,,
technetium [99mTc] albumin aggregated,C,Diagnostic Agents,,,,,,,,,,,,,,,,
technetium [99mTc] bicisate,C,Diagnostic Agents,,,,,,,,,,,,,,,,
teduglutide,B1,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
tegafur,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
tegaserod,B3,Alimentary System,Prokinetics,,,,,,,,,,,,,,,
teicoplanin,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
telaprevir,B2,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
telbivudine,B1,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
telmisartan,D,Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors,,,,,,,,,,,,,,
telotristat ethyl (as etiprate),B3,Alimentary System,Antidiarrhoeals,,,,,,,,,,,,,,,
temazepam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
temozolomide,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
temsirolimus,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
tenecteplase,C,Cardiovascular System,Fibrinolytic agents,,,,,,,,,,,,,,,
teniposide,D,Antineoplastic Agents,,,,,,,,,,,,,,,,
tenofovir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
tenofovir disoproxil fumarate / emtricitabine / elvitegravir / cobicistat,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
tenoxicam,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
terazosin,B2,Cardiovascular System,Antihypertensives,,,,,,,,,,,,,,,
terazosin,B2,Genitourinary System,Bladder function disorders,,,,,,,,,,,,,,,
terbinafine,B1,Antimicrobials,Antifungal agents (see also topical antifungals),,,,,,,,,,,,,,,
terbutaline,A,Cardiovascular System,Adrenergic stimulants,,,,,,,,,,,,,,,
terbutaline,A,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
terfenadine,B2,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
teriflunomide,X,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
teriparatide,B3,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
terlipressin,D,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
testosterone,D,Endocrine System,Androgens and anabolic steroids,,,,,,,,,,,,,,,
tetrabenazine,B3,Central Nervous System,,,,,,,,,,,,,,,,
tetracaine,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
tetracosactide,D,Diagnostic Agents,Pituitary-adrenal response test,,,,,,,,,,,,,,,
tetracosactrin (tetracosactide),D,Diagnostic Agents,Pituitary-adrenal response test,,,,,,,,,,,,,,,
tetracycline,D,Antimicrobials,Antibiotics,Tetracyclines,,,,,,,,,,,,,,
tezacaftor / ivacaftor,B3,Respiratory System,,,,,,,,,,,,,,,,
thalidomide,X,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
theophylline and derivatives,A,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
thiabendazole,B3,Antimicrobials,Anthelmintics,,,,,,,,,,,,,,,
thiethylperazine,C,Central Nervous System,"Antiemetics, antinauseants",Phenothiazines,,,,,,,,,,,,,,
thiopentone,A,Drugs Used in Anaesthesia,General anaesthetics,,,,,,,,,,,,,,,
thiopropazate,C,Central Nervous System,Antipsychotic drugs,Phenothiazines,,,,,,,,,,,,,,
thioridazine,C,Central Nervous System,Antipsychotic drugs,Phenothiazines,,,,,,,,,,,,,,
thiotepa,D,Antineoplastic Agents,Alkylating agents,,,,,,,,,,,,,,,
thiothixene,C,Central Nervous System,Antipsychotic drugs,,,,,,,,,,,,,,,
thrombin,B2,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
thyrotrophin,B2,Endocrine System,Pituitary hormones,,,,,,,,,,,,,,,
thyrotropin alfa,B2,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
thyroxine,A,Endocrine System,Thyroid hormones,,,,,,,,,,,,,,,
tiagabine,B3,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
tiaprofenic acid,C,Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),,,,,,,,,,,,,,,
tibolone,D,Endocrine System,Hormonal agents,,,,,,,,,,,,,,,
ticarcillin,B2,Antimicrobials,Antibiotics,Penicillins,,,,,,,,,,,,,,
ticlopidine,B1,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
tigecycline,D,Antimicrobials,Antibiotics,Tetracyclines,,,,,,,,,,,,,,
tildrakizumab,B1,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
tilmanocept,C,Diagnostic Agents,Radiographic agents,,,,,,,,,,,,,,,
tiludronate disodium,B2,Endocrine System,Agents affecting calcium and bone metabolism,,,,,,,,,,,,,,,
timolol,C,Cardiovascular System,Beta-adrenergic blocking agents,,,,,,,,,,,,,,,
timolol (ophthalmic),C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
tinidazole,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
tinzaparin,C,Cardiovascular System,Anticoagulants and thrombolytic agents,,,,,,,,,,,,,,,
tioguanine,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
tiotropium,B1,Respiratory System,Inhalational agents,Bronchospasm relaxants,,,,,,,,,,,,,,
tipranavir,B3,Antimicrobials,Antiviral agents,,,,,,,,,,,,,,,
tirilazad,B2,Cardiovascular System,,,,,,,,,,,,,,,,
tirofiban hydrochloride,B1,Cardiovascular System,Antiangina agents,,,,,,,,,,,,,,,
tobramycin,D,Antimicrobials,Antibiotics,Aminoglycosides,,,,,,,,,,,,,,
tocilizumab (rch),C,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
tofacitinib (as citrate),D,Allergy and Immune System,Immunomodifiers,,,,,,,,,,,,,,,
tolazamide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
tolbutamide,C,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
tolcapone,B3,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
tolterodine,B3,Genitourinary System,Prostate hyperplasia,,,,,,,,,,,,,,,
tolvaptan,D,Cardiovascular System,Diuretics,,,,,,,,,,,,,,,
topiramate,D,Central Nervous System,Anticonvulsants/antiepileptics,,,,,,,,,,,,,,,
topotecan,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
toremifene,B3,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
tramadol,C,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics,,,,,,,,,,,,,,
trametinib dimethyl sulfoxide,D,Antineoplastic Agents,Tyrosine kinase inhibitors,,,,,,,,,,,,,,,
trandolapril,D,Cardiovascular System,Antihypertensives,Angiotensin converting enzyme (ACE) inhibitors,,,,,,,,,,,,,,
tranexamic acid,B1,Cardiovascular System,Haemostatic agents,,,,,,,,,,,,,,,
tranylcypromine,B2,Central Nervous System,Antidepressants,Monoamine oxidase inhibitors,,,,,,,,,,,,,,
trastuzumab,D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
trastuzumab emtansine (rch),D,Antineoplastic Agents,Monoclonal antibodies,,,,,,,,,,,,,,,
travoprost,B3,Ophthalmic Drugs,,,,,,,,,,,,,,,,
travoprost / timolol,C,Ophthalmic Drugs,,,,,,,,,,,,,,,,
treprostinil,B3,Cardiovascular System,Vasodilators,,,,,,,,,,,,,,,
tretinoin,D,Drugs used in Dermatology,Topical,,,,,,,,,,,,,,,
tretinoin (oral),X,Antineoplastic Agents,,,,,,,,,,,,,,,,
triamcinolone (inhaled),B3,Endocrine System,Corticosteroids,Inhalation/intranasal,,,,,,,,,,,,,,
triamcinolone (systemic),A,Endocrine System,Corticosteroids,Systemic,,,,,,,,,,,,,,
triamcinolone (topical),A,Endocrine System,Corticosteroids,Topical,,,,,,,,,,,,,,
triamterene,C,Cardiovascular System,Diuretics,Potassium sparing diuretics,,,,,,,,,,,,,,
triazolam,C,Central Nervous System,Benzodiazepines,,,,,,,,,,,,,,,
trientine,D,Metabolism,Agents used for the treatment of metabolic disorders,,,,,,,,,,,,,,,
trifarotene,D,Drugs Used in Dermatology,Topical,,,,,,,,,,,,,,,
trifluoperazine,C,Central Nervous System,Antipsychotic drugs,Phenothiazines,,,,,,,,,,,,,,
trifluridine / tipiracil hydrochloride,D,Antineoplastic Agents,Antimetabolites,,,,,,,,,,,,,,,
trihexyphenidyl,B1,Central Nervous System,Antiparkinson agents,,,,,,,,,,,,,,,
trimeprazine (alimemazine),C,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
trimethoprim,B3,Antimicrobials,Antibiotics,,,,,,,,,,,,,,,
trimipramine,C,Central Nervous System,Antidepressants,Tricyclic antidepressants,,,,,,,,,,,,,,
triprolidine,A,Allergy and Immune System,Antihistamines,,,,,,,,,,,,,,,
triptorelin,D,Antineoplastic Agents,Hormonal antineoplastic agents,,,,,,,,,,,,,,,
troglitazone,B3,Endocrine System,Hypoglycaemic agents,,,,,,,,,,,,,,,
tropicamide,B2,Ophthalmic Drugs,,,,,,,,,,,,,,,,
tropisetron,B3,Central Nervous System,"Antiemetics, antinauseants",,,,,,,,,,,,,,,
trovafloxacin,B3,Antimicrobials,Antibiotics,Quinolones,,,,,,,,,,,,,,
tubocurarine,C,Drugs Used in Anaesthesia,Neuromuscular blocking agents,,,,,,,,,,,,,,,
